timestamp	Active_Power	temperature_2m	relativehumidity_2m	direct_radiation	diffuse_radiation	windspeed_10m	cloudcover
2017-01-20 00:00:00	0.0	26.8	72	0.0	0.0	21.3	0
2017-01-20 01:00:00	0.0	26.2	75	0.0	0.0	20.9	6
2017-01-20 02:00:00	0.0	25.7	78	0.0	0.0	20.4	5
2017-01-20 03:00:00	0.0	25.3	80	0.0	0.0	19.1	12
2017-01-20 04:00:00	0.0	25.0	81	0.0	0.0	19.1	18
2017-01-20 05:00:00	0.0	24.8	82	0.0	0.0	18.9	42
2017-01-20 06:00:00	0.0	24.8	83	2.0	4.0	18.4	27
2017-01-20 07:00:00	0.22846662998199	26.0	77	68.0	50.0	26.5	31
2017-01-20 08:00:00	1.3277333974838	27.5	69	278.0	79.0	22.1	18
2017-01-20 09:00:00	2.5148665904999	31.1	53	390.0	142.0	17.4	8
2017-01-20 10:00:00	3.1835334300995	32.6	48	493.0	198.0	16.8	25
2017-01-20 11:00:00	3.5903334617615	33.9	45	757.0	144.0	17.3	52
2017-01-20 12:00:00	4.6050000190735	34.0	44	574.0	216.0	17.8	38
2017-01-20 13:00:00	4.148699760437	34.8	42	662.0	221.0	18.8	33
2017-01-20 14:00:00	4.5355663299561	35.4	41	690.0	116.0	14.8	32
2017-01-20 15:00:00	4.0344662666321	35.5	40	485.0	195.0	17.1	54
2017-01-20 16:00:00	3.3877003192902	35.2	40	435.0	117.0	12.8	29
2017-01-20 17:00:00	2.1062667369843	33.5	43	154.0	146.0	17.9	31
2017-01-20 18:00:00	0.82923340797424	32.6	45	90.0	63.0	12.2	46
2017-01-20 19:00:00	0.054433315992355	31.5	49	16.0	19.0	8.7	43
2017-01-20 20:00:00	0.0	28.2	64	0.0	0.0	12.5	99
2017-01-20 21:00:00	0.0	30.6	50	0.0	0.0	8.3	68
2017-01-20 22:00:00	0.0	29.6	58	0.0	0.0	5.4	37
2017-01-20 23:00:00	0.0	28.9	59	0.0	0.0	10.9	35
2017-01-21 00:00:00	0.0	28.0	63	0.0	0.0	11.2	53
2017-01-21 01:00:00	0.0	27.4	67	0.0	0.0	10.2	43
2017-01-21 02:00:00	0.0	27.0	69	0.0	0.0	9.7	26
2017-01-21 03:00:00	0.0	26.1	74	0.0	0.0	8.7	61
2017-01-21 04:00:00	0.0	25.5	77	0.0	0.0	7.3	75
2017-01-21 05:00:00	0.0	25.0	81	0.0	0.0	5.5	99
2017-01-21 06:00:00	0.0	25.1	81	1.0	4.0	6.0	98
2017-01-21 07:00:00	0.27853333950043	26.6	72	62.0	42.0	5.5	91
2017-01-21 08:00:00	0.82783341407776	28.3	64	249.0	90.0	4.1	60
2017-01-21 09:00:00	0.84760016202927	29.3	64	375.0	129.0	3.1	59
2017-01-21 10:00:00	2.6154668331146	31.4	55	267.0	294.0	5.8	98
2017-01-21 11:00:00	1.9677666425705	30.7	56	60.0	296.0	5.3	99
2017-01-21 12:00:00	4.3426332473755	30.1	56	33.0	271.0	4.0	98
2017-01-21 13:00:00	3.145299911499	32.4	49	277.0	403.0	6.7	89
2017-01-21 14:00:00	2.8829002380371	33.0	48	542.0	190.0	8.7	26
2017-01-21 15:00:00	3.0595333576202	34.5	42	700.0	131.0	7.6	4
2017-01-21 16:00:00	3.2829999923706	34.6	40	567.0	106.0	7.9	23
2017-01-21 17:00:00	1.8239667415619	34.0	39	278.0	128.0	10.3	85
2017-01-21 18:00:00	1.1225999593735	33.8	39	116.0	59.0	2.5	68
2017-01-21 19:00:00	0.14339999854565	33.1	44	21.0	21.0	11.0	47
2017-01-21 20:00:00	0.0	31.6	49	0.0	0.0	11.4	44
2017-01-21 21:00:00	0.0	27.4	69	0.0	0.0	13.2	55
2017-01-21 22:00:00	0.0	26.7	71	0.0	0.0	14.6	96
2017-01-21 23:00:00	0.0	26.4	74	0.0	0.0	12.2	99
